"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071711","GO:0071711","basement membrane organization","3/8","41/18860",0.0731707317073171,172.5,22.645576948549,5.29976356106959e-07,4.61079429813054e-05,2.1756924092812e-05,"COL4A1/NID2/PXDN",3
"GO:0030198","GO:0030198","extracellular matrix organization","3/8","331/18860",0.00906344410876133,21.3670694864048,7.70091198008735,0.000280998328314466,0.0062210124373102,0.0029355049613442,"COL4A1/NID2/PXDN",3
"GO:0043062","GO:0043062","extracellular structure organization","3/8","332/18860",0.00903614457831325,21.3027108433735,7.68837235340876,0.00028350369241273,0.0062210124373102,0.0029355049613442,"COL4A1/NID2/PXDN",3
"GO:0045229","GO:0045229","external encapsulating structure organization","3/8","333/18860",0.00900900900900901,21.2387387387387,7.67588780719059,0.000286023560336101,0.0062210124373102,0.0029355049613442,"COL4A1/NID2/PXDN",3
"GO:0061299","GO:0061299","retina vasculature morphogenesis in camera-type eye","1/8","10/18860",0.1,235.75,15.2959174769651,0.0042347025512055,0.0459670245879992,0.0216904290251902,"COL4A1",1
"GO:1990709","GO:1990709","presynaptic active zone organization","1/8","11/18860",0.0909090909090909,214.318181818182,14.5782591760236,0.00465730851298762,0.0459670245879992,0.0216904290251902,"PCDH17",1
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","1/8","12/18860",0.0833333333333333,196.458333333333,13.9520423521489,0.00507975753054268,0.0459670245879992,0.0216904290251902,"COL4A1",1
"GO:0034342","GO:0034342","response to type III interferon","1/8","13/18860",0.0769230769230769,181.346153846154,13.3993290976627,0.00550204965383205,0.0459670245879992,0.0216904290251902,"SHFL",1
"GO:0006448","GO:0006448","regulation of translational elongation","1/8","14/18860",0.0714285714285714,168.392857142857,12.9067516896883,0.00592418493280322,0.0459670245879992,0.0216904290251902,"SHFL",1
"GO:0070207","GO:0070207","protein homotrimerization","1/8","15/18860",0.0666666666666667,157.166666666667,12.4641167216283,0.00634616341739103,0.0459670245879992,0.0216904290251902,"PXDN",1
"GO:0038065","GO:0038065","collagen-activated signaling pathway","1/8","16/18860",0.0625,147.34375,12.063497296385,0.00676798515751575,0.0459670245879992,0.0216904290251902,"COL4A1",1
"GO:0097091","GO:0097091","synaptic vesicle clustering","1/8","17/18860",0.0588235294117647,138.676470588235,11.6986236276935,0.00718965020308693,0.0459670245879992,0.0216904290251902,"PCDH17",1
"GO:0070206","GO:0070206","protein trimerization","1/8","18/18860",0.0555555555555556,130.972222222222,11.3644626450873,0.00761115860399852,0.0459670245879992,0.0216904290251902,"PXDN",1
"GO:0075523","GO:0075523","viral translational frameshifting","1/8","19/18860",0.0526315789473684,124.078947368421,11.0569210141354,0.00803251041013209,0.0459670245879992,0.0216904290251902,"SHFL",1
"GO:0006415","GO:0006415","translational termination","1/8","20/18860",0.05,117.875,10.7726309177718,0.00845370567135617,0.0459670245879992,0.0216904290251902,"SHFL",1
"GO:0061298","GO:0061298","retina vasculature development in camera-type eye","1/8","20/18860",0.05,117.875,10.7726309177718,0.00845370567135617,0.0459670245879992,0.0216904290251902,"COL4A1",1
